video_id,title,published_at,view_count,like_count,comment_count,tags,category_id,duration
ki1XIBfNlbM,Too much or not enough?,2025-06-29,17706,1126,28,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,sinvicta,sinvicta isaac,What are the odds?",20,PT57S
EVBo6XUhZYU,BADgic Mush?! -  The Binding Of Isaac Repentance+ 208,2025-06-29,27840,2521,135,"binding of isaac,gaming,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,Repentance+,Isaac Multiplayer,Isaac Multiplayer Patch,Isaac DLC,BADgic Mush?! - The Binding Of Isaac Repentance+ 208",20,PT1H1M8S
7O48BCQ-b_U,WE GOT A STRONG RUN?! -  The Binding Of Isaac Repentance+ 207,2025-06-28,29009,2585,78,"binding of isaac,gaming,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,Repentance+,Isaac Multiplayer,Isaac Multiplayer Patch,Isaac DLC,WE GOT A STRONG RUN?! - The Binding Of Isaac Repentance+ 207",20,PT48M58S
NM0-5HFmb5o,BIG MAMA BOOM -  The Binding Of Isaac Repentance+ 206,2025-06-27,23868,2151,69,"binding of isaac,gaming,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,Repentance+,Isaac Multiplayer,Isaac Multiplayer Patch,Isaac DLC,BIG MAMA BOOM - The Binding Of Isaac Repentance+ 206",20,PT41M39S
Kf02jQ5NpwA,IN WAFER WE TRUST -  The Binding Of Isaac Repentance+ 205,2025-06-26,20867,2168,108,"binding of isaac,gaming,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,Repentance+,Isaac Multiplayer,Isaac Multiplayer Patch,Isaac DLC,IN WAFER WE TRUST - The Binding Of Isaac Repentance+ 205",20,PT36M50S
6S4LW_WbsQM,OUT OF CONTROL (ler) -  The Binding Of Isaac Repentance+ 204,2025-06-25,20769,1952,110,"binding of isaac,gaming,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,Repentance+,Isaac Multiplayer,Isaac Multiplayer Patch,Isaac DLC,OUT OF CONTROL (ler) - The Binding Of Isaac Repentance+ 204",20,PT39M41S
Jw4g_EYN6Uo,Does Eve's Mascara make a good run happen?? -  The Binding Of Isaac Repentance+ 203,2025-06-24,23326,2334,66,"binding of isaac,gaming,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,Repentance+,Isaac Multiplayer,Isaac Multiplayer Patch,Isaac DLC,Does Eve's Mascara make a good run happen?? - The Binding Of Isaac Repentance+ 203",20,PT36M58S
AIMP1ZRttsM,My editor loves when I do this,2025-06-24,14002,1291,42,"binding of isaac,binding of isaac repentance,binding of rebirth,binding of isaac repentance gameplay,the binding of isaac rebirth,rebirth streak,commentary,gaming,afterbirth,isaac afterbirth,afterbirth gameplay,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,sinvicta,sinvicta isaac,What are the odds?",20,PT1M7S
2ominqpnUKw,UNDEFEATABLE -  The Binding Of Isaac Repentance+ 202,2025-06-23,24676,2332,71,"binding of isaac,gaming,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,Repentance+,Isaac Multiplayer,Isaac Multiplayer Patch,Isaac DLC,UNDEFEATABLE - The Binding Of Isaac Repentance+ 202",20,PT41M34S
rzhPQPy852I,RETURN OF THE KING -  The Binding Of Isaac Repentance+ 201,2025-06-22,23530,2024,88,"binding of isaac,gaming,new isaac dlc,new isaac content,New Isaac Boss,Isaac vs Delirium,Isaac Best,Eden Streak,Sinvicta Eden Streak,NO CHESTS,Repentance+,Isaac Multiplayer,Isaac Multiplayer Patch,Isaac DLC,RETURN OF THE KING - The Binding Of Isaac Repentance+ 201",20,PT43M3S
